count(Paper);Country 1;Country 2;Journal;Category
2;Belgium;Switzerland;Journal of Facade Design and Engineering;Architecture & Design
1;Denmark;Germany;Journal of Facade Design and Engineering;Architecture & Design
3;Denmark;Italy;Journal of Facade Design and Engineering;Architecture & Design
3;Germany;Italy;Journal of Facade Design and Engineering;Architecture & Design
6;Germany;Netherlands;Journal of Facade Design and Engineering;Architecture & Design
11;Germany;Sweden;Journal of Facade Design and Engineering;Architecture & Design
1;Germany;United Kingdom;Journal of Facade Design and Engineering;Architecture & Design
1;Greece;Spain;Journal of Facade Design and Engineering;Architecture & Design
3;Japan;United States;Journal of Facade Design and Engineering;Architecture & Design
1;Netherlands;Portugal;Journal of Facade Design and Engineering;Architecture & Design
1;Netherlands;Switzerland;Journal of Facade Design and Engineering;Architecture & Design
2;Netherlands;United Kingdom;Journal of Facade Design and Engineering;Architecture & Design
4;Poland;Sweden;Journal of Facade Design and Engineering;Architecture & Design
8;Spain;Sweden;Journal of Facade Design and Engineering;Architecture & Design
2;Spain;United Kingdom;Journal of Facade Design and Engineering;Architecture & Design
7;Algeria;France;Main Group Chemistry;Chemistry
6;Algeria;Saudi Arabia;Main Group Chemistry;Chemistry
2;Argentina;Iran;Main Group Chemistry;Chemistry
10;Australia;United Kingdom;Main Group Chemistry;Chemistry
2;Australia;United States;Main Group Chemistry;Chemistry
4;Bangladesh;Saudi Arabia;Main Group Chemistry;Chemistry
2;Bangladesh;South Korea;Main Group Chemistry;Chemistry
1;Bulgaria;Germany;Main Group Chemistry;Chemistry
2;Canada;India;Main Group Chemistry;Chemistry
2;Canada;Iran;Main Group Chemistry;Chemistry
2;Canada;Pakistan;Main Group Chemistry;Chemistry
3;Canada;Saudi Arabia;Main Group Chemistry;Chemistry
5;Canada;South Korea;Main Group Chemistry;Chemistry
2;Canada;United Kingdom;Main Group Chemistry;Chemistry
4;China;United Kingdom;Main Group Chemistry;Chemistry
2;Cyprus;Greece;Main Group Chemistry;Chemistry
1;Czechia;Germany;Main Group Chemistry;Chemistry
1;Czechia;India;Main Group Chemistry;Chemistry
7;Czechia;Iran;Main Group Chemistry;Chemistry
4;Egypt;Libya;Main Group Chemistry;Chemistry
124;Egypt;Saudi Arabia;Main Group Chemistry;Chemistry
2;Egypt;Sudan;Main Group Chemistry;Chemistry
7;Egypt;United States;Main Group Chemistry;Chemistry
4;Egypt;Yemen;Main Group Chemistry;Chemistry
25;France;Lebanon;Main Group Chemistry;Chemistry
3;France;Morocco;Main Group Chemistry;Chemistry
4;France;Russia;Main Group Chemistry;Chemistry
5;France;United States;Main Group Chemistry;Chemistry
3;Germany;Iran;Main Group Chemistry;Chemistry
2;Germany;Jordan;Main Group Chemistry;Chemistry
