count,c1,c2,journal,category
2,BEL,CHE,Journal of Facade Design and Engineering,Architecture & Design
1,DNK,DEU,Journal of Facade Design and Engineering,Architecture & Design
3,DNK,ITA,Journal of Facade Design and Engineering,Architecture & Design
3,DEU,ITA,Journal of Facade Design and Engineering,Architecture & Design
6,DEU,NLD,Journal of Facade Design and Engineering,Architecture & Design
11,DEU,SWE,Journal of Facade Design and Engineering,Architecture & Design
1,DEU,GBR,Journal of Facade Design and Engineering,Architecture & Design
1,GRC,ESP,Journal of Facade Design and Engineering,Architecture & Design
3,JPN,USA,Journal of Facade Design and Engineering,Architecture & Design
1,NLD,PRT,Journal of Facade Design and Engineering,Architecture & Design
1,NLD,CHE,Journal of Facade Design and Engineering,Architecture & Design
2,NLD,GBR,Journal of Facade Design and Engineering,Architecture & Design
4,POL,SWE,Journal of Facade Design and Engineering,Architecture & Design
8,ESP,SWE,Journal of Facade Design and Engineering,Architecture & Design
2,ESP,GBR,Journal of Facade Design and Engineering,Architecture & Design
7,DZA,FRA,Main Group Chemistry,Chemistry
6,DZA,SAU,Main Group Chemistry,Chemistry
2,ARG,IRN,Main Group Chemistry,Chemistry
10,AUS,GBR,Main Group Chemistry,Chemistry
2,AUS,USA,Main Group Chemistry,Chemistry
4,BGD,SAU,Main Group Chemistry,Chemistry
2,BGD,KOR,Main Group Chemistry,Chemistry
1,BGR,DEU,Main Group Chemistry,Chemistry
2,CAN,IND,Main Group Chemistry,Chemistry
2,CAN,IRN,Main Group Chemistry,Chemistry
2,CAN,PAK,Main Group Chemistry,Chemistry
3,CAN,SAU,Main Group Chemistry,Chemistry
5,CAN,KOR,Main Group Chemistry,Chemistry
2,CAN,GBR,Main Group Chemistry,Chemistry
4,CHN,GBR,Main Group Chemistry,Chemistry
2,CYP,GRC,Main Group Chemistry,Chemistry
1,CZE,DEU,Main Group Chemistry,Chemistry
1,CZE,IND,Main Group Chemistry,Chemistry
7,CZE,IRN,Main Group Chemistry,Chemistry
4,EGY,LBY,Main Group Chemistry,Chemistry
124,EGY,SAU,Main Group Chemistry,Chemistry
2,EGY,SDN,Main Group Chemistry,Chemistry
7,EGY,USA,Main Group Chemistry,Chemistry
4,EGY,YEM,Main Group Chemistry,Chemistry
25,FRA,LBN,Main Group Chemistry,Chemistry
3,FRA,MAR,Main Group Chemistry,Chemistry
4,FRA,RUS,Main Group Chemistry,Chemistry
5,FRA,USA,Main Group Chemistry,Chemistry
